URL,Nível 1,Nível 2,Nível 3,Nível 4,Nível 5,Nível 6,Nível 7,Nível 8,Nível 9
https://www.isel.pt/concurso/professor-coordenador/deetc-computadores,concurso,professor-coordenador,deetc-computadores,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-computadores-2023,concurso,professor-coordenador,deetc-computadores-2023,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-eletronica,concurso,professor-coordenador,deetc-eletronica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-eletronica-2025,concurso,professor-coordenador,deetc-eletronica-2025,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-eng-informatica,concurso,professor-coordenador,deetc-eng-informatica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-engenharia-informatica-2023,concurso,professor-coordenador,deetc-engenharia-informatica-2023,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-engenharia-multimedia-2023,concurso,professor-coordenador,deetc-engenharia-multimedia-2023,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-redes-computadores-2025,concurso,professor-coordenador,deetc-redes-computadores-2025,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deetc-telecomunicacoes,concurso,professor-coordenador,deetc-telecomunicacoes,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dem-pc-mecanotronica-biomecanica,concurso,professor-coordenador,dem-pc-mecanotronica-biomecanica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dem-pc-tec-mecanica-materiais,concurso,professor-coordenador,dem-pc-tec-mecanica-materiais,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dem-tecnologia-mecanica-materiais,concurso,professor-coordenador,dem-tecnologia-mecanica-materiais,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dem-termodinamica-termofluidos-sistemas-energeticos,concurso,professor-coordenador,dem-termodinamica-termofluidos-sistemas-energeticos,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deq-eng-biologica,concurso,professor-coordenador,deq-eng-biologica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deq-eng-quimica-2023,concurso,professor-coordenador,deq-eng-quimica-2023,,,,,,
